#Id|Instrument Name |Type|Band       |Telescope         |Homepage                                                                                                            |Remarks                                                                                                                                                                                 |Last Modified|Modified By
171|IDS-McDonald    |spec|optical    |Harlan J Smith    |https://pds.nasa.gov/ds-view/pds/viewInstrumentProfile.jsp?INSTRUMENT_ID=MCDIDS&INSTRUMENT_HOST_ID=MCD27M           |Intensified Dissector Scanner - Decommissioned                                                                                                                                          |2016-08-30   |ilanm      
172|DECAM           |phot|optical    |CTIO-4m           |http://www.ctio.noao.edu/noao/content/dark-energy-camera-decam                                                      |Dark Energy Camera                                                                                                                                                                      |2017-01-24   |ofer       
173|ARCoIRIS        |spec|ir         |CTIO-4m           |http://www.ctio.noao.edu/noao/content/Arcoiris                                                                      |Astronomy Research using the Cornell Infra Red Imaging Spectrograph                                                                                                                     |2017-01-24   |ofer       
174|COSMOS          |spec|optical    |CTIO-4m           |http://www.ctio.noao.edu/noao/node/7167                                                                             |Cerro Tololo Ohio State Multi-Object Spectrograph                                                                                                                                       |2017-01-24   |ofer       
175|HDS             |spec|optical+nir|Subaru            |http://subarutelescope.org/Introduction/instrument/HDS.html                                                         |High Dispersion Spectrograph                                                                                                                                                            |2017-03-28   |ilanm      
176|TWIN            |spec|optical+nir|CA-3.5m           |http://www.caha.es/CAHA/Instruments/TWIN/HTML/twin.html                                                             |                                                                                                                                                                                        |2017-03-14   |ilanm      
177|HSC             |phot|optical    |Subaru            |http://www.naoj.org/Observing/Instruments/HSC/index.html                                                            |Hyper Suprime-Cam                                                                                                                                                                       |2017-03-28   |ofer       
178|IRCS            |both|ir         |Subaru            |http://www.naoj.org/Observing/Instruments/IRCS/index.html                                                           |Infrared Camera and Spectrograph                                                                                                                                                        |2017-03-28   |ofer       
179|OMR             |spec|optical    |XLT               |http://www.xinglong-naoc.org/html/en/gcyq/216/detail-18.html                                                        |Optical-Mechanism Research Low Resolution Spectrograph                                                                                                                                  |2017-07-20   |ofer       
180|MMIRS           |both|ir         |MMT               |https://www.mmto.org/node/59                                                                                        |                                                                                                                                                                                        |2017-06-14   |ilanm      
181|HRS-XLT         |spec|optical+nir|XLT               |http://www.xinglong-naoc.org/html/en/gcyq/216/detail-18.html                                                        |High Resolution Fiber-fed Spectrograph                                                                                                                                                  |2017-07-20   |ofer       
182|MUSE            |spec|optical    |VLT-UT4           |http://www.eso.org/public/teles-instr/paranal-observatory/vlt/vlt-instr/muse/                                       |Multi Unit Spectroscopic Explorer - integral field spectrograph                                                                                                                         |2017-07-20   |ofer       
