# sample xephem sites file.
#
# The format of this file is compatable with the xsat program and the
# cities included here are from the sample included therewith. Xsat included
# the following notice:
#
#   Copyright 1992 by David A. Curry
#
#   Permission to use, copy, modify, distribute, and sell this software and its
#   documentation for any purpose is hereby granted without fee, provided that
#   the above copyright notice appear in all copies and that both that copyright
#   notice and this permission notice appear in supporting documentation.  The
#   author makes no representations about the suitability of this software for
#   any purpose.  It is provided "as is" without express or implied warranty.
#
# Most of the observatory sites are transcribed, with permission, from the table
# beginning on page 28 in the July 1993 issue of Sky and Telescope. Any 
# descrepencies or unfaithful interpretations of the information provided
# therein are strictly the fault of the author of xephem.
#
# The following description of the format of this file is extracted from the
# xsat software. All lines not conforming to the following description are
# silently ignored.
#
# The first column contains the name of the site, up to the first semicolon.
#
# The second column gives the latitude of the city in degrees (DDD),
# minutes (MM), and seconds (SS), and a N or S to indicate north or
# south of the equator.  If you don't know the value for seconds,
# use "00".
#
# The third column gives the longitude of the city in degrees (DDD),
# minutes (MM), and seconds (SS), and a E or W to indicate east or
# west of the prime meridian in Greenwich, England.  If you don't
# know the value for seconds, use "00".
#
# The fourth column gives the elevation of the city in meters.  If you
# do not know your elevation, use a "-1.0".  This will throw the math
# off a bit, but should be usable unless you're on a mountain top.
#
# Information for cities in the United States is taken from the World
# Almanac, 1990.  Information for cities outside the United States is
# gleaned from the UUCP map database, and hence may or may not be
# correct.
#
# If your site is not listed in the table below, you can try consulting
# an atlas, almanac, or gazeteer for the information.  Or, you could
# call the local airport; they ought to know.
# 
# City, State or Country, or site name  ; Latitude      ; Longitude     ; Elev
#
Holyoke, Massachusetts                  ;  42 12 29 N   ;  72 36 36 W   ;  35.1
Honolulu, Hawaii                        ;  21 18 22 N   ; 157 51 35 W   ;   6.4
Houston, Texas                          ;  29 45 26 N   ;  95 21 37 W   ;  12.2
Huntington, West Virginia               ;  38 25 12 N   ;  82 26 33 W   ; 172.2
Huntsville, Alabama                     ;  34 44 18 N   ;  86 35 19 W   ; 195.1
Indianapolis, Indiana                   ;  39 46  7 N   ;  86  9 46 W   ; 216.4
Iowa City, Iowa                         ;  41 39 37 N   ;  91 31 53 W   ; 208.8
Isaac Newton Telescope (98-inch)        ;  28 46  0 N   ;  17 53  0 W   ;2336
Jackson, Michigan                       ;  42 14 43 N   ;  84 24 22 W   ; 286.5
Jackson, Mississippi                    ;  32 17 56 N   ;  90 11  6 W   ;  90.8
Jacksonville, Florida                   ;  30 19 44 N   ;  81 39 42 W   ;   6.1
Jakarta, Indonesia                      ;  06 11  0 S   ; 106 50  0 E   ;  -1.0
Jersey City, New Jersey                 ;  40 43 50 N   ;  74  3 56 W   ;   6.1
Jerusalem, Israel                       ;  31 47  0 N   ;  35 13  0 E   ; 762.0
Johannesburg, South Africa              ;  26 10  0 S   ;  28  2  0 E   ; 234.7
Johnstown, Pennsylvania                 ;  40 19 35 N   ;  78 55  3 W   ; 361.2
Joplin, Missouri                        ;  37  5 26 N   ;  94 30  0 W   ; 301.8
Juneau, Alaska                          ;  58 18 12 N   ; 134 24 30 W   ;  15.2
KHBI, Saipan, MI                        ;  15  7 20 N   ; 145 41 37 E   ;  -1
Kalamazoo, Michigan                     ;  42 17 29 N   ;  85 35 14 W   ; 230.1
Kansas City, Kansas                     ;  39  7  4 N   ;  94 38 24 W   ; 228.6
Kansas City, Missouri                   ;  39  7 56 N   ;  94 35 20 W   ; 228.6
Karl Schwarzschild Observatorium        ;  50 59  0 N   ;  11 43  0 E   ; 331
Kenosha, Wisconsin                      ;  42 35 43 N   ;  87 50 11 W   ; 185.9
Kensington NSW, Australia               ;  33 52  0 S   ; 151 13  0 E   ;  -1.0
Key West, Florida                       ;  24 33 30 N   ;  81 48 12 W   ;   1.5
Kiso Observatory                        ;  35 48  0 N   ; 137 38  0 E   ;1130
Kitt Peak National Obs.                 ;  31 58 48 N   ; 111 36  0 W   ;2120
Knoxville, Tennessee                    ;  35 57 39 N   ;  83 55  7 W   ; 271.3
Kuala Lumpur, Malaysia                  ;  03  8  0 N   ; 101 42  0 E   ;  -1.0
Lafayette, Indiana                      ;  40 25 11 N   ;  86 53 39 W   ; 167.6
Lancaster, Pennsylvania                 ;  40  2 25 N   ;  76 18 29 W   ; 108.2
Lansing, Michigan                       ;  42 44  1 N   ;  84 33 15 W   ; 253.0
Laredo, Texas                           ;  27 30 22 N   ;  99 30 30 W   ; 134.1
Large Earth-based Solar Tel. (LEST)     ;  28 46  0 N   ;  17 53  0 W   ;2400
Las Campanas Observatory                ;  29  0  0 S   ;  70 42  0 W   ;2300
Las Campanas Observatory                ;  29  0 12 S   ;  70 42  6 W   ;2282
Las Vegas, Nevada                       ;  36 10 20 N   ; 115  8 37 W   ; 618.7
Lawrence, Massachusetts                 ;  42 42 16 N   ;  71 10  8 W   ;  19.8
