Air.KAO         Kuiper Airborne Observatory 
Sh.FAUST        FAUST, Far Ultraviolet Space Telescope 
Sh.HUT          HUT, Hopkins Ultraviolet Telescope 
Sh.UIT          UIT, Ultraviolet Imaging Telescope
Sh.WUPPE        WUPPE, Wisconsin Ultraviolet PhotoPolarimeter Experiment 
SP.ESF          Sacramento Peak/Evans Solar Facility 
SP.HF           Sacramento Peak/Hilltop Facility 
SP.RDT          Sacramento Peak/Richard Dunn Solar Telescope 
SPdA.CBI        Cosmic Background Imager
SPole.ACBAR     ACBAR, the Arcminute Cosmology Bolometer Array Receiver
SSO.2.3m        Siding Springs Observatory/2.3 meter Telescope 
SSO.40in        Siding Springs Observatory/40 inch Telescope 
SSO.AAT         Siding Springs Observatory/AAT, Anglo-Australian Telescope
SSO.UKST        Siding Springs Observatory/UKST, United Kingdom Schmidt Telescope
USNO.NPOI       United States Naval Observatory/NPOI, Navy Prototype Optical Interferometer 
UW.WIRO         University of Wyoming/WIRO, Wyoming Infrared Observatory 
WO.40in         Wise Observatory/40 inch Telescope
